Sample	Study	Site	Site latitude	Site longitude	Country	Year	ENA	All samples same individual	% callable	location_id	continent	date_of_collection	doc_accuracy	partner_sample_id	derivative_sample_id	original_sample_id	sampling_event_id	individual_id	mean_coverage	bases_no_coverage_percent	bases_low_coverage_percent	bases_excessive_coverage_percent	bases_poor_mapping_quality_percent	bases	bases_of_1X_coverage	bases_of_5X_coverage	bases_duplicated	mean_insert_size	sd_insert_size	avg_read_length	error_rate	average_quality	reads_mapped	reads_properly_paired	genome_50pc_callable	preferred_sample_individual	preferred_sample_sampling_event	in_pv_10	in_pv_20	in_pv_30	first_release	dna_prep	id_run	preQC_exclusion_reason	GADM	GADM_0	GADM_1	GADM_2	GADM_3	Species	public_exclusion_reason	median_distance_to_other_samples	internal_exclusion_reason	nearest_sample	nearest_sample_dist	nearest_sample_country	nearest_country	nearest_site	nearest_population	nearest_continent	Continent_mismatch	QC_pass	sub_population	analysis_sub_population	population	analysis_population	colouring_sub_population	in_analysis_set	subpopulation_colour	population_colour
QX0013-C	1157-PV-MULTI-PRICE	Iran	27.089	56.982	Iran	2008	ERR1787764	QX0013-C	0.51	Bandar-E-Jask	Asia	2008-04-27	day	55J	DS_QX0013-C	OS_1157_55J	SE_1157_55J	IN_1157_55J	3.0	24.49	74.35	0.0	0.13	430169398	22410405	2616526	46202678	367.6	455.7	148	0.05318969	17.7	1389013	1038062	False	True	True	False	False	False	4.0	DNA	21096		https://gadm.org/maps/IRN.html	IRN				Pv	Less_than_50pc_callable										None	False	Iran	unassigned	WAS	unassigned	unassigned	False	#d3d3d3	#d3d3d3
QX0014-C	1157-PV-MULTI-PRICE	Iran	27.089	56.982	Iran	2007	ERR1787758	QX0014-C	0.82	Bandar-E-Jask	Asia	2007-11-20	day	6J	DS_QX0014-C	OS_1157_6J	SE_1157_6J	IN_1157_6J	2.96	23.03	75.49	0.0	0.14	450590819	22782842	2905305	49084060	343.8	382.3	148	0.0508966	18.1	1433190	1092888	False	True	True	False	False	False	4.0	DNA	21096		https://gadm.org/maps/IRN.html	IRN				Pv	Less_than_50pc_callable										None	False	Iran	unassigned	WAS	unassigned	unassigned	False	#d3d3d3	#d3d3d3
QX0015-C	1157-PV-MULTI-PRICE	Iran	27.089	56.982	Iran	2008	ERR1787756	QX0015-C	0.07	Bandar-E-Jask	Asia	2008-06-19	day	76J	DS_QX0015-C	OS_1157_76J	SE_1157_76J	IN_1157_76J	2.31	41.52	57.77	0.0	0.12	383499731	17756466	872370	38717457	441.4	683.7	148	0.05895858	17.0	1199004	755319	False	True	True	False	False	False	4.0	DNA	21096		https://gadm.org/maps/IRN.html	IRN				Pv	Less_than_50pc_callable										None	False	Iran	unassigned	WAS	unassigned	unassigned	False	#d3d3d3	#d3d3d3
SGH-1-331	X0009-PV-ET-LO	Jimma	7.6833306	36.8513179	Ethiopia	2016	ERR2678990	SGH-1-331	90.94	Jimma	Africa	2016-01-01	year	SGH-1-331	DS_X0009_SGH-1-331	OS_X0009_SGH-1-331	SE_X0009_SGH-1-331	IN_X0009_SGH-1-331	84.62	3.22	2.16	0.0	3.17	2533788708	28293842	27842285	52358250	516.4	145.5	149	0.01561263	26.6	16136651	14858135	True	True	True	False	False	False	4.0	DNA	17862		https://gadm.org/maps/ETH/oromia/jimma.html	ETH	oromia	jimma		Pv	Analysis_set	0.02324378676712513		JHC_2_216	0.01455038320273161	Ethiopia	Ethiopia	Jimma	AF	Africa	None	True	Ethiopia: Oromia	Ethiopia: Oromia	AF	AF	AF: Ethiopia, Oromia	True	#dd5a5c	#e41a1c
SGH_1_337	X0009-PV-ET-LO	Jimma	7.6833306	36.8513179	Ethiopia	2016	ERR2679008	SGH_1_337	89.12	Jimma	Africa	2016-01-01	year	SGH_1_337	DS_X0009_SGH_1_337	OS_X0009_SGH_1_337	SE_X0009_SGH_1_337	IN_X0009_SGH_1_337	39.84	3.76	4.66	0.0	1.94	1313761869	28152149	27305372	340564796	405.4	128.1	150	0.01778442	25.7	7701642	7345183	True	True	True	False	False	False	4.0	DNA	21123		https://gadm.org/maps/ETH/oromia/jimma.html	ETH	oromia	jimma		Pv	Analysis_set	0.02295222133398056		QS0030-C	0.014237936586141588	Ethiopia	Ethiopia	Jimma	AF	Africa	None	True	Ethiopia: Oromia	Ethiopia: Oromia	AF	AF	AF: Ethiopia, Oromia	True	#dd5a5c	#e41a1c
SGH_1_355	X0009-PV-ET-LO	Jimma	7.6833306	36.8513179	Ethiopia	2016	ERR2678999	SGH_1_355	87.94	Jimma	Africa	2016-01-01	year	SGH_1_355	DS_X0009_SGH_1_355	OS_X0009_SGH_1_355	SE_X0009_SGH_1_355	IN_X0009_SGH_1_355	87.03	4.08	4.87	0.0	2.59	2568005530	28109143	27000437	361299663	431.8	121.8	150	0.01990064	25.0	16407059	15642647	True	True	True	False	False	False	4.0	DNA	19564		https://gadm.org/maps/ETH/oromia/jimma.html	ETH	oromia	jimma		Pv	Analysis_set	0.02299586124718189		JHC_2_216	0.014353363774716852	Ethiopia	Ethiopia	South Nations Nationalities and Peoples' Region	AF	Africa	None	True	Ethiopia: Oromia	Ethiopia: Oromia	AF	AF	AF: Ethiopia, Oromia	True	#dd5a5c	#e41a1c
SGH_1_357	X0009-PV-ET-LO	Jimma	7.6833306	36.8513179	Ethiopia	2016	ERR2679000	SGH_1_357	89.87	Jimma	Africa	2016-01-01	year	SGH_1_357	DS_X0009_SGH_1_357	OS_X0009_SGH_1_357	SE_X0009_SGH_1_357	IN_X0009_SGH_1_357	232.22	2.33	3.45	0.0	3.83	9499536897	28586073	28021379	3799425911	414.8	117.0	150	0.02173775	25.3	45408227	43277778	True	True	True	False	False	False	4.0	DNA	19564		https://gadm.org/maps/ETH/oromia/jimma.html	ETH	oromia	jimma		Pv	Analysis_set	0.022949246689677242		VVX00959	0.01698910444974899	Sudan	Ethiopia	Kassala	AF	Africa	None	True	Ethiopia: Oromia	Ethiopia: Oromia	AF	AF	AF: Ethiopia, Oromia	True	#dd5a5c	#e41a1c
SGH_1_358	X0009-PV-ET-LO	Jimma	7.6833306	36.8513179	Ethiopia	2016	ERR2679009	SGH_1_358	88.36	Jimma	Africa	2016-01-01	year	SGH_1_358	DS_X0009_SGH_1_358	OS_X0009_SGH_1_358	SE_X0009_SGH_1_358	IN_X0009_SGH_1_358	38.49	5.14	3.84	0.0	2.14	1616345435	27820925	27011589	284125677	397.4	118.9	150	0.01934786	26.1	7187712	6808686	True	True	True	False	False	False	4.0	DNA	21123		https://gadm.org/maps/ETH/oromia/jimma.html	ETH	oromia	jimma		Pv	Analysis_set	0.023179711773991585		VVX00863	0.014127217233181001	Ethiopia	Ethiopia	South Nations Nationalities and Peoples' Region	AF	Africa	None	True	Ethiopia: Oromia	Ethiopia: Oromia	AF	AF	AF: Ethiopia, Oromia	True	#dd5a5c	#e41a1c
SGH_1_359	X0009-PV-ET-LO	Jimma	7.6833306	36.8513179	Ethiopia	2016	ERR2679010	SGH_1_359	91.24	Jimma	Africa	2016-01-01	year	SGH_1_359	DS_X0009_SGH_1_359	OS_X0009_SGH_1_359	SE_X0009_SGH_1_359	IN_X0009_SGH_1_359	79.47	1.87	3.06	0.0	3.31	2891435787	28611778	28171761	954523850	391.7	121.1	150	0.02033997	26.2	15353139	14481782	True	True	True	False	False	False	4.0	DNA	21123		https://gadm.org/maps/ETH/oromia/jimma.html	ETH	oromia	jimma		Pv	Analysis_set	0.022802097722887996		VVX01945	0.012260036543011664	Ethiopia	Ethiopia	Jimma	AF	Africa	None	True	Ethiopia: Oromia	Ethiopia: Oromia	AF	AF	AF: Ethiopia, Oromia	True	#dd5a5c	#e41a1c
SGH_1_360	X0009-PV-ET-LO	Jimma	7.6833306	36.8513179	Ethiopia	2016	ERR2679011	SGH_1_360	19.74	Jimma	Africa	2016-01-01	year	SGH_1_360	DS_X0009_SGH_1_360	OS_X0009_SGH_1_360	SE_X0009_SGH_1_360	IN_X0009_SGH_1_360	4.67	9.56	70.04	0.0	0.14	283635520	26529667	11196135	38869212	357.8	195.1	149	0.030666500000000006	21.8	1207031	1049582	False	True	True	False	False	False	4.0	DNA	21123		https://gadm.org/maps/ETH/oromia/jimma.html	ETH	oromia	jimma		Pv	Less_than_50pc_callable										None	False	Ethiopia: Oromia	unassigned	AF	unassigned	unassigned	False	#d3d3d3	#d3d3d3
SGH_1_361	X0009-PV-ET-LO	Jimma	7.6833306	36.8513179	Ethiopia	2016	ERR2679001	SGH_1_361	74.48	Jimma	Africa	2016-01-01	year	SGH_1_361	DS_X0009_SGH_1_361	OS_X0009_SGH_1_361	SE_X0009_SGH_1_361	IN_X0009_SGH_1_361	11.03	5.44	18.4	0.0	1.17	439413427	27734912	25060361	54822362	403.4	136.8	149	0.0286955	22.8	2273538	2061875	True	True	True	False	False	False	4.0	DNA	19564		https://gadm.org/maps/ETH/oromia/jimma.html	ETH	oromia	jimma		Pv	Analysis_set	0.022019490599632263		QS0031-C	0.013743134215474129	Ethiopia	Ethiopia	South Nations Nationalities and Peoples' Region	AF	Africa	None	True	Ethiopia: Oromia	Ethiopia: Oromia	AF	AF	AF: Ethiopia, Oromia	True	#dd5a5c	#e41a1c
SGH_2_103	X0009-PV-ET-LO	Jimma	7.6833306	36.8513179	Ethiopia	2016	ERR2679002	SGH_2_103	89.46	Jimma	Africa	2016-01-01	year	SGH_2_103	DS_X0009_SGH_2_103	OS_X0009_SGH_2_103	SE_X0009_SGH_2_103	IN_X0009_SGH_2_103	143.7	3.44	3.26	0.0	3.32	4334494348	28312215	27603224	614653352	425.1	118.7	150	0.02069566	25.1	27280296	25941207	True	True	True	False	False	False	4.0	DNA	19564		https://gadm.org/maps/ETH/oromia/jimma.html	ETH	oromia	jimma		Pv	Analysis_set	0.02296098507940769		QS0031-C	0.014195582829415796	Ethiopia	Ethiopia	South Nations Nationalities and Peoples' Region	AF	Africa	None	True	Ethiopia: Oromia	Ethiopia: Oromia	AF	AF	AF: Ethiopia, Oromia	True	#dd5a5c	#e41a1c
SGH_2_108	X0009-PV-ET-LO	Jimma	7.6833306	36.8513179	Ethiopia	2016	ERR2679012	SGH_2_108	88.1	Jimma	Africa	2016-01-01	year	SGH_2_108	DS_X0009_SGH_2_108	OS_X0009_SGH_2_108	SE_X0009_SGH_2_108	IN_X0009_SGH_2_108	22.83	5.35	4.49	0.0	1.55	688161611	27732277	26892054	165535260	393.2	107.1	150	0.01931971	26.2	4239069	4042813	True	True	True	False	False	False	4.0	DNA	21123		https://gadm.org/maps/ETH/oromia/jimma.html	ETH	oromia	jimma		Pv	Analysis_set	0.02282601967453957		VVX00863	0.013980958610773088	Ethiopia	Ethiopia	Jimma	AF	Africa	None	True	Ethiopia: Oromia	Ethiopia: Oromia	AF	AF	AF: Ethiopia, Oromia	True	#dd5a5c	#e41a1c
Salvador_1	X0001-PV-MULTI-HUPALO2016	El Salvador	13.47	-89.18	El Salvador	1971	SRR575089	QH0001-CW,Salvador_1	80.42	Cangrejera	Americas	1971-01-01 0:00:00	year	Salvador 1	DS_X0001_Salvador 1	OS_X0001_Salvador 1	SE_1157_Sal-1	IN_1157_Sal-1	31.89	5.88	9.54	0.0	3.65	43161947212	28541324	27129514	2576214200	215.5	122.6	99	0.04949937	22.8	36232469	18881886	True	True	True	False	False	True	3.0	DNA			https://gadm.org/maps/SLV.html	SLV				Pv	Analysis_set	0.02210437692701817		Mexico_7401	0.012911370024085043	Mexico	Mexico	Tapachula	SAM	Americas	None	True	El Salvador	unassigned	SAM	SAM	SAM: other	True	#ddf2dc	#4daf4a
Thailand_Pakchong_460	X0001-PV-MULTI-HUPALO2016	Pakchong	14.6	101.4	Thailand	1971	SRR1562613,SRR1564621,SRR1565015	Thailand_Pakchong_460	66.22	Pakchong	Asia	1971-01-01 0:00:00	year	Thailand_Pakchong_460	DS_X0001_Thailand_Pakchong_460	OS_X0001_Thailand_Pakchong_460	SE_X0001_Thailand_Pakchong_460	IN_X0001_Thailand_Pakchong_460	63.7	19.11	12.84	0.0	1.31	3540818068	25847969	23147617	925810844	226.9	87.2	100	0.009219291	25.2	17084944	16169182	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/nakhonratchasima/pakchong.html	THA	nakhonratchasima	pakchong		Pv	Analysis_set	0.01914234831929207		IVC10-OM-0303	0.0149608189240098	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Thailand: Nakhon Ratchasima	unassigned	ESEA	ESEA	ESEA: other	True	#f0d4f4	#984ea3
Thailand_VKBT_100	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2013	SRR1564596,SRR1564979,SRR1568148	Thailand_VKBT_100	82.42	Kanchanaburi	Asia	2013-01-01 0:00:00	year	Thailand_VKBT_100	DS_X0001_Thailand_VKBT_100	OS_X0001_Thailand_VKBT_100	SE_X0001_Thailand_VKBT_100	IN_X0001_Thailand_VKBT_100	199.27	6.91	9.17	0.0	0.99	5699031730	27281639	24853648	168585867	187.4	74.6	100	0.007962213000000001	25.4	55523006	53427974	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.020159091800451282		Thailand_VKBT_101	0.011992378160357477	Thailand	Thailand	Kanchanaburi	WSEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
Thailand_VKBT_101	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2013	SRR1564585,SRR1565101,SRR1568209	Thailand_VKBT_101	80.31	Kanchanaburi	Asia	2013-01-01 0:00:00	year	Thailand VKBT 101	DS_X0001_Thailand VKBT 101	OS_X0001_Thailand VKBT 101	SE_X0001_Thailand VKBT 101	IN_X0001_Thailand VKBT 101	164.89	9.26	9.19	0.0	0.72	4559263131	26587207	24010629	114449362	193.6	83.1	100	0.008004281	25.3	44481572	42633628	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.020344441756606102		Thailand_VKBT_100	0.011992378160357477	Thailand	Thailand	Kanchanaburi	WSEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
Thailand_VKBT_58	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2012	SRR1562845,SRR1564610,SRR1564980	Thailand_VKBT_58	77.74	Kanchanaburi	Asia	2012-01-01 0:00:00	year	Thailand VKBT 58	DS_X0001_Thailand VKBT 58	OS_X0001_Thailand VKBT 58	SE_X0001_Thailand VKBT 58	IN_X0001_Thailand VKBT 58	112.64	11.91	9.27	0.0	0.56	3004070385	25787646	23100973	103961017	197.0	85.5	100	0.007338534	25.8	29299696	28073454	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.02019701898097992		Thailand_VKBT_100	0.015085064806044103	Thailand	Thailand	Kanchanaburi	WSEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
Thailand_VKBT_71	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2012	SRR1562962,SRR1564548,SRR1565016	Thailand_VKBT_71	81.62	Kanchanaburi	Asia	2012-01-01 0:00:00	year	Thailand VKBT 71	DS_X0001_Thailand VKBT 71	OS_X0001_Thailand VKBT 71	SE_X0001_Thailand VKBT 71	IN_X0001_Thailand VKBT 71	134.18	8.06	9.02	0.0	0.78	3711991564	26928409	24461794	95196035	200.0	80.8	100	0.007276976	25.9	36321438	34980418	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.02009017951786518		Thailand_VKBT_95	0.016098609194159508	Thailand	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
Thailand_VKBT_72	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2012	SRR1564668,SRR1565090,SRR1568161	Thailand_VKBT_72	79.0	Kanchanaburi	Asia	2012-01-01 0:00:00	year	Thailand_VKBT_72	DS_X0001_Thailand_VKBT_72	OS_X0001_Thailand_VKBT_72	SE_X0001_Thailand_VKBT_72	IN_X0001_Thailand_VKBT_72	92.72	10.23	9.57	0.0	0.68	2570058281	26344514	23647857	119291201	201.7	77.6	100	0.007761677	25.5	24616100	23775184	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.020012721419334408		Thailand_VKTS_37	0.015750952064990997	Thailand	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
Thailand_VKBT_73	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2012	SRR1562970,SRR1564702,SRR1564954	Thailand_VKBT_73	75.39	Kanchanaburi	Asia	2012-01-01 0:00:00	year	Thailand_VKBT_73	DS_X0001_Thailand_VKBT_73	OS_X0001_Thailand_VKBT_73	SE_X0001_Thailand_VKBT_73	IN_X0001_Thailand_VKBT_73	52.6	13.71	9.82	0.0	0.56	1497238499	25214431	22334549	101521463	332.4	183.0	100	0.008301636999999999	24.1	13945668	12614432	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.020002670586109158		Thailand_VKBT_75	0.008406096138060093	Thailand	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
Thailand_VKBT_75	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2012	SRR1562616,SRR1564930,SRR1568014	Thailand_VKBT_75	78.67	Kanchanaburi	Asia	2012-01-01 0:00:00	year	Thailand_VKBT_75	DS_X0001_Thailand_VKBT_75	OS_X0001_Thailand_VKBT_75	SE_X0001_Thailand_VKBT_75	IN_X0001_Thailand_VKBT_75	231.84	12.54	7.67	0.0	0.6	6385949736	25596559	23363086	208579948	194.4	83.7	100	0.007972835	25.5	62378974	59923833	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.020376596599817283		Thailand_VKBT_73	0.008406096138060093	Thailand	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
Thailand_VKBT_94	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2012	SRR1564687,SRR1565029,SRR1568152	Thailand_VKBT_94	78.51	Kanchanaburi	Asia	2012-01-01 0:00:00	year	Thailand_VKBT_94	DS_X0001_Thailand_VKBT_94	OS_X0001_Thailand_VKBT_94	SE_X0001_Thailand_VKBT_94	IN_X0001_Thailand_VKBT_94	110.78	10.73	9.63	0.0	0.61	3032361519	26169415	23384028	86701531	183.2	76.7	99	0.007319171	25.7	29651914	28310543	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.02003409527242184		Thailand_VKBT_95	0.015314542688429356	Thailand	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
Thailand_VKBT_95	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2012	SRR1564688,SRR1565064,SRR1568109	Thailand_VKBT_95	79.96	Kanchanaburi	Asia	2012-01-01 0:00:00	year	Thailand_VKBT_95	DS_X0001_Thailand_VKBT_95	OS_X0001_Thailand_VKBT_95	SE_X0001_Thailand_VKBT_95	IN_X0001_Thailand_VKBT_95	106.99	7.88	10.95	0.0	0.69	3034448628	26994895	23985691	133614516	201.3	79.3	100	0.008010485	25.3	29141898	28223596	True	True	True	False	False	False	4.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.018675411120057103		IVC10-OM-0303	0.014743865467607975	Cambodia	Thailand	Oddar Meanchey	WSEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
Thailand_VKBT_98	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2013	SRR1564671,SRR1565040,SRR1568103	Thailand_VKBT_98	80.06	Kanchanaburi	Asia	2013-01-01 0:00:00	year	Thailand_VKBT_98	DS_X0001_Thailand_VKBT_98	OS_X0001_Thailand_VKBT_98	SE_X0001_Thailand_VKBT_98	IN_X0001_Thailand_VKBT_98	218.51	10.18	8.44	0.0	0.8	6899068988	26373690	24002335	648065086	246.0	132.4	100	0.008227414	23.6	64003501	57327367	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.020451068878173828		IVC10-OM-0303	0.016160888597369194	Cambodia	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
Thailand_VKBT_99	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2013	SRR1564657,SRR1565115,SRR1568229	Thailand_VKBT_99	80.95	Kanchanaburi	Asia	2013-01-01 0:00:00	year	Thailand_VKBT_99	DS_X0001_Thailand_VKBT_99	OS_X0001_Thailand_VKBT_99	SE_X0001_Thailand_VKBT_99	IN_X0001_Thailand_VKBT_99	191.18	9.76	7.96	0.0	0.8	5273030891	26469538	24260271	158982484	192.7	81.7	100	0.0073746490000000005	25.8	51622238	49636574	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.02041250467300415		Thailand_VKBT_95	0.016305837780237198	Thailand	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
Thailand_VKPR_11	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2013	SRR1562974,SRR1565126,SRR1567959	Thailand_VKPR_11	81.87	Kanchanaburi	Asia	2013-01-01 0:00:00	year	Thailand_VKPR_11	DS_X0001_Thailand_VKPR_11	OS_X0001_Thailand_VKPR_11	SE_X0001_Thailand_VKPR_11	IN_X0001_Thailand_VKPR_11	191.36	9.65	7.05	0.0	0.91	5314192721	26546965	24608168	146152656	181.4	72.8	100	0.007572036	25.7	52136616	50282944	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.020107399672269818		Thailand_VKBT_95	0.01619824953377247	Thailand	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
Thailand_VKTS_36	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2012	SRR1564565,SRR1565004,SRR1568186	Thailand_VKTS_36	80.52	Kanchanaburi	Asia	2012-01-01 0:00:00	year	Thailand_VKTS_36	DS_X0001_Thailand_VKTS_36	OS_X0001_Thailand_VKTS_36	SE_X0001_Thailand_VKTS_36	IN_X0001_Thailand_VKTS_36	133.13	10.35	7.9	0.0	0.71	3665983621	26279311	24049191	108484706	218.0	101.5	100	0.007947151999999999	25.3	35580333	33803311	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.020126361399888992		Thailand_VKBT_95	0.015086125582456587	Thailand	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
Thailand_VKTS_37	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2012	SRR1564919,SRR1567992,SRR1568154	Thailand_VKTS_37	78.1	Kanchanaburi	Asia	2012-01-01 0:00:00	year	Thailand_VKTS_37	DS_X0001_Thailand_VKTS_37	OS_X0001_Thailand_VKTS_37	SE_X0001_Thailand_VKTS_37	IN_X0001_Thailand_VKTS_37	214.61	12.91	7.92	0.0	0.55	5834819248	25490943	23162124	199785979	193.3	82.0	100	0.00719312	25.8	57218019	55025378	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.02033577673137188		Thailand_VKBT_95	0.01570194773375988	Thailand	Cambodia	Oddar Meanchey	WSEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
Thailand_VKTS_38	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2012	SRR1562671,SRR1564597,SRR1565053	Thailand_VKTS_38	77.61	Kanchanaburi	Asia	2012-01-01 0:00:00	year	Thailand_VKTS_38	DS_X0001_Thailand_VKTS_38	OS_X0001_Thailand_VKTS_38	SE_X0001_Thailand_VKTS_38	IN_X0001_Thailand_VKTS_38	66.99	12.61	8.71	0.0	0.55	1788388152	25597513	23080786	58309926	207.1	83.1	100	0.007772419	25.6	17196834	16636657	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.020243098959326744		Thailand_VKTS_52	0.01303219422698021	Thailand	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
Thailand_VKTS_39	X0001-PV-MULTI-HUPALO2016	Kanchanaburi	15.0	99.0	Thailand	2012	SRR1565065,SRR1568038,SRR1568208	Thailand_VKTS_39	80.52	Kanchanaburi	Asia	2012-01-01 0:00:00	year	Thailand_VKTS_39	DS_X0001_Thailand_VKTS_39	OS_X0001_Thailand_VKTS_39	SE_X0001_Thailand_VKTS_39	IN_X0001_Thailand_VKTS_39	187.61	9.98	8.19	0.0	0.79	5279986573	26435296	24140273	178033609	190.0	82.9	100	0.007964983	25.3	51364043	49147365	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/THA/kanchanaburi.html	THA	kanchanaburi			Pv	Analysis_set	0.0202933456748724		Thailand_VKBT_95	0.01645674742758274	Thailand	Cambodia	Oddar Meanchey	ESEA	Asia	None	True	Thailand: Kanchanaburi	Thailand: Kanchanaburi	WSEA	WSEA	WSEA: Thailand, Kanchanaburi	True	#158ff2	#377eb8
